Caltrans Roundabout Status Report,,,,,,,,,,Revised: 1-23-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For questions, please contact Ashlyn Swan, Ranjeet Bagha, and Gina Lopez.",,,,,,,,,ashlyn.f.swan@dot.ca.gov,,,ranjeet.bagha@dot.ca.gov,,gina.lopez@dot.ca.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note 1,,Note 2,,,,,,,Note 3,,,,,,Note 4,,,,Note 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Status or Year Opened,Project,Lead,District,County,Route 1,PM 1,Route 2,PM 2,# of,Local Road,Local Road,Local Road,Location Description,Nearest,  Latitude,  Longitude,Google,Approx.,  Single Lane ,  1 & 2 Lane ,  2 or 2+ Lane ,  Material,Trucks can take both lanes entering?,Trucks can take both lanes circulating?,Oversize/Overweight (OSOW) Vehicle Analyzed?,Additional Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Constr,,Caltrans,3,PLA,49,2.3,,,,Lincoln Way,Borland Avenue,,"Route 49 at Lincoln Way and Borland Avenue,",Auburn,38.904096,-121.065628,"38.904096, -121.065628",,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Out to Bid,03-4H600,Caltrans,3,PLA,49,R10.282,,,,Lone Star Road,,,SR 49 at Lone Star Road,Auburn,38.996548,-121.109037,"38.996548, -121.109037",,,x,,,,,,safety corridor project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Out to Bid,03-4H600,Caltrans  ,3,PLA,49,R8.971,,,,Lorensen,Florence,,SR 49 at Lorensen/Florence,Auburn,38.978225,-121.108341,"38.978225, -121.108341",,,x,,,,,,safety corridor project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,,Federal,3,PLA,89,8.2, ,,3,West Lake Boulevard,N/A,,Route 89 (Lake Blvd) at West Lake Boulevard,Tahoe City,39.162911,-120.144439,"39.162911, -120.144439",,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,,Federal,3,PLA,89,8.9,28,0,3,Lake Boulevard,West River Road,,Route 89 at West River Road,Tahoe City,39.16425,-120.14919,"39.16425, -120.14919",,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Constr,03-3A760,Federal,3,PLA,89,T8.6,28,0,,W River Road,W Lake Blvd,N Lake Blvd,Tahoe City Wye,Tahoe City,39.1676357,-120.1452237,"39.1676357, -120.1452237",,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,Local  ,3,PLA,28,9.7, ,,4,Bear Avenue,Brook Avenue,,Route 28 at Bear Avenue and Brook Avenue,Kings Beach,39.236814,-120.024649,"39.236814, -120.024649",,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,Local  ,3,PLA,28,9.9, ,,4,Racoon Street,Racoon Street,,Route 28 at Racoon Street,Kings Beach,39.235885,-120.022073,"39.235885, -120.022073",,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,,Local  ,3,PLA,80,33,174,0.1,4,South Auburn Street,N/A,,"WB Route 80 Ramps at Route 174 and South Auburn Street, in Colfax",Colfax,39.094722,-120.950788,"39.094722, -120.950788",,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,Local  ,3,SAC,99,3.5, ,,4,West Stockton Boulevard,Twin Cities Road,,Route 104 at West Stockton Boulevard,Galt,38.2910494,-121.3134041,"38.2910494, -121.3134041",,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,Local  ,3,SAC,99,3.5,104,0.1,4,East Stockton Boulevard,Twin Cities Road,,Route 104 at East Stockton Boulevard,Galt,28.2910831,-121.311044,"28.2910831, -121.311044",, ,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,03-0C472,Caltrans,3,YOL,16,31,,,4,County Road 89,County Road 89,,Route 16 at County Road 89,Madison,38.681841,-121.967267,"38.681841, -121.967267",,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,,Local  ,3,YOL,128,9,,,4,Walnut Lane,Walnut Lane,,Route 128 at Walnut Lane,Winters,38.526291,-121.967329,"38.526291, -121.967329",,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Constr,,Caltrans,4,ALA,80,6.6,,,,Gilman Street,West Frontage Road,,WB Route 80 Ramps at Gilman Street and West Frontage Road,Berkeley,37.89805,-122.307795,"37.89805, -122.307795",,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Constr,,Caltrans,4,ALA,80,6.6,,,,Gilman Street,Eastshore Highway,,EB Route 80 Ramps at Gilman Street and Eastshore Highway,Berkeley,37.8782289,-122.306681,"37.8782289, -122.306681",,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Constr,,Caltrans,4,NAP,29,R6.2,121,0,,Soscol Ferry Road,Napa Vallejo Highway,,SB Route 29 at Route 121 and Soscol Ferry Road,Napa,38.241241,-122.269847,"38.241241, -122.269847",,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Constr,,Caltrans,4,NAP,29,R6.2,121,0,,Soscol Ferry Road,Napa Vallejo Highway,,NB Route 29 at Route 121 and Soscol Ferry Road,Napa,38.242006,-122.268916,"38.242006, -122.268916",,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,,Local,4,NAP,29,11.5,,,4,First Street,First Street,,NB Route 29 Ramps at First Street,Napa,38.298819,-122.30116,"38.298819, -122.30116",,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,,Local  ,4,SCL,152,6.9,,,3*,Autumm Drive,?,,Route 152 at Autumm Drive (possible future expansion for Plum St),Gilroy,37.011891,-121.617909,"37.011891, -121.617909",,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,04-4G560,Caltrans,4,SOL,12,19.2,113,0,4,Birds Landing Road,N/A,,Route 12 at Route 113,Rio Vista,38.183669,-121.806113,"38.183669, -121.806113",,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,Local  ,5,MON,1,75.1, , ,2,17 Mile Drive,N/A,,SB Route 1 onramp at 17 Mile Drive,Monterey,36.574504,-121.912963,"36.574504, -121.912963",,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,Local  ,5,MON,1,75.2,68,L4.2,4,17 Mile Drive,Holman Highway,,SB Route 1 at Route 68 (Holman Hwy) and 17 Mile Drive,Monterey,36.57529,-121.912838,"36.57529, -121.912838",,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,Caltrans,5,SB,154,8.1,246,R34.6,2,Armour Ranch Road,San Marcos Pass Road,,Route 154 at Route 246 and Amour Ranch Road,Santa Ynez,34.667717,-120.115007,"34.667717, -120.115007",,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,,Caltrans,5,SB,246,12.3,,,3,Purisima Road,N/A,,Route 246 at Purisima Road,Lompoc,34.664593,-120.40791,"34.664593, -120.40791",,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,Local  ,5,SB,101,12.7,,,5,S. Milpas Street,Carpinteria Street,,NB US 101 Ramps at S. Milpas Street,Santa Barbara,34.420733,-119.67766,"34.420733, -119.67766",,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Constr,,Caltrans,5,SBT,25,54,156,R11.4,,Bolsa Road,,,Route 25 at Route 156,Holister,36.895652,-121.427342,"36.895652, -121.427342",,,,x,,,,,Turbo Roundabout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Constr,,Caltrans,5,SBT,156,5.4,,,,Bixby Road,,,Route 156 at Bixby Road,San Bautista,36.840941,-121.4905,"36.840941, -121.4905",,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,,Caltrans,5,SCR,129,1.4,,,3,Lakeview Road,N/A,,Route 129 at Lakeview Road,Watsonville,36.916834,-121.73147,"36.916834, -121.73147",,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,,Caltrans,5,SLO,46,R17.4,,,4,Vineyard Drive,Vineyard Drive,,Route 46 at Vineyard Drive,Templeton,35.553346,-120.761546,"35.553346, -120.761546",,x, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,06-0J920,Caltans,6,FRE,145,33.1, ,,4,West Jensen Avenue,West Jensen Avenue,,Route 145 at Jensen Avenue,Kerman,36.705803,-120.060525,"36.705803, -120.060525",,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,06-0L340,Caltrans,6,FRE,168,T30.2,,,5,Auberry Road,Private Drive,Private Drive,Route 168 (Morgan Canyon Rd) at Auberry Road,Prather,37.037259,-119.514254,"37.037259, -119.514254",,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,06-0P900,Caltrans,6,KER,43,18.2,119,18.2,4,South Enos Lane,N/A,,Route 43 at Route 119,Bakersfield,35.26736,-119.25267,"35.26736, -119.25267",,,x,,,,,Y,"STAA and car side by side circulating. Chevron markings on approach/entry to accommodate a STAA, but not STAA side by side with STAA.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,06-0P290,Caltrans,6,KER,155,1.5,,,4,Browning Road,Browning Road,,Route 155 at Browning Road,Delano,35.761456,-119.223214,"35.761456, -119.223214",,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,06-0R190,Caltrans,6,KER,223,R16.0,184,L0.0,4,N. Wheeler Ridge Rd.,N/A,,Route 184 at Route 223 and N. Wheeler Ridge Rd.,Weedpatch,35.208701,-118.914508,"35.208701, -118.914508",,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,06-0V280,Caltrans,6,KER,184,L1.0,,,4,Sunset Boulevard,,,Route 184 at Sunset Boulevard,Weedpatch,35.223296,-118.914484,"35.223296, -118.914484",,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,06-48465,Local,6,KER,58,??,43,6.1,4,N/A,N/A,,Route 43 at Route 58 (Stockdale Highway),Bakersfield,35.35452,-119.25223,"35.35452, -119.25223",,x,,,Concrete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,06-0M370,Caltrans,6,KIN,43,1.5,137,0,5,Whitley Avenue,4.5 Avenue,,"Route 43 at Route 137, Whitley Avenue, and 4.5 Avenue",Corcoran,36.098045,-119.545835,"36.098045, -119.545835",,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,06-0Q320,Caltrans,6,KIN,198,R15.7, ,,4,Hanford Armona Road,13th Avenue,,WB Route 198 Ramp at Hanford Armona Road and 13th Avenue,Hanford,36.314401,-119.693545,"36.314401, -119.693545",,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,06-0T050,Local  ,6,KIN,43,18.5, ,,3,East Lacey Boulevard,N/A,,Route 43 (8th Avenue) at East Lacey Boulevard,Hanford,36.329101,-119.600979,"36.329101, -119.600979",,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,06-0P590,Caltrans,6,TUL,190,4.4, ,,4,Road 152,Road 152,,Route 190 at Road 152,Tipton,36.051396,-119.232389,"36.051396, -119.232389",,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,06-0J530,Caltrans,6,TUL,190,21.1,,,4,Road 284,Road 284,,Route 190 at Road 284,Porterville,36.047553,-118.937375,"36.047553, -118.937375",,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,06-0Q680,Local  ,6,TUL,198,R14.6, , ,3,Avenue 295,N/A,,EB Route 198 ramps at Avenue 295,Farmersville,36.325386,-119.20881,"36.325386, -119.20881",,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,06-0P670,Local  ,6,TUL,216,14,245,7.1,4,N/A,N/A,,Route 216 (Naranjo Blvd) at Route 245 (Valencia Blvd),Woodlake,36.413665,-119.098911,"36.413665, -119.098911",,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,,Caltrans,7,LA,138,R77.0,,,4,Palmdale Boulevard,50th Street E,,Route 138 (E Palmdale Blvd and 47 St E) at E Palmdale Blvd and 50th St E,Palmdale,34.580052,-118.04506,"34.580052, -118.04506",,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,07-19320,Caltrans,7,LA,5,R56.6, , ,5,Hasley Canyon Road,The Old Road,,SB Route 5 Ramp at Hasley Canyon Road and The Old Road,Santa Clarita,34.455933,-118.617301,"34.455933, -118.617301",,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,07-19320,Caltrans,7,LA,5,R56.6, , ,3,Hasley Canyon Road,N/A,,NB Route 5 Ramps at Halsey Canyon Road,Santa Clarita,34.456071,-118.61522,"34.456071, -118.61522",,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,?,8,RIV,10,17.7, , ,5,Main Street,Apache Trail,Morongo Trail,"EB Route 10 Ramps at Main Street, Morongo Trail, and Apache Trail",Banning,33.920693,-116.806772,"33.920693, -116.806772",,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,,?,8,RIV,10,17.7, , ,6,Seminole Drive,Seminole Drive,Morongo Trail,WB Route 10 Ramps at Seminole Drive and Morongo Trail,Banning,33.921937,-116.806105,"33.921937, -116.806105",,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,08-0J070,Caltrans,8,SBD,215,1.3,,,4,Barton Road,Barton Road,La Crosse Avenue,SB Route 215 Ramps at Barton Road and La Crosse Avenue,Grand Terrace,34.033894,-117.325966,"34.033894, -117.325966",,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,0Q880,Local  ,10,AMA,49,17.2, , ,4,Main Street,Shenandoah Road,,Route 49 at Main Street and Shenandoah Road,Plymouth,38.481811,-120.844804,"38.481811, -120.844804",,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Constr,0W350,Local  ,10,MER,140,6.1,33,27.1,,,,,Route 140 at Route 33,Gustine,37.260122,-120.999729,"37.260122, -120.999729",,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1E531,Caltrans,10,SJ,88,22.1,,,4,Liberty Road,Liberty Road,,Route 88 at Liberty Road,Clements,38.236011,-121.051046,"38.236011, -121.051046",,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,11-40570,Caltrans,11,SD,76,R32.9, , ,4,Valley Center Road,Private Drive,,Route 76 at Valley Center Road and Private Drive,Rincon,33.288289,-116.958132,"33.288289, -116.958132",,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,Local  ,12,ORA,5,8.6, , ,4,La Novia Avenue,La Novia Avenue,Valle Road,NB Route 5 Ramps at La Novia Avenue and Valle Road,San Juan Capistrano,33.48822,-117.66318,"33.48822, -117.66318",,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,In Constr,Post PS&E and prior to Con. acceptance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,YEAR,Completion year for completed roundabouts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Identifies the lead for implementation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Local agency roads that intersect & local names for state highways,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Google Earth Coordinates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Defined as circulating lanes.  (Note:  A single lane roundabout may have multi-lane approaches but only a single circulating lane),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
